作者姓名	学科背景	时间
Susan McKenney	Education	2018
Susan McKenney	 computer	2018
Elizabeth M. Walsh	Chemistry	2018
Elizabeth M. Walsh	educational technology?	2018
Elizabeth M. Walsh	Science	2018
Elizabeth M. Walsh	Oceanography	2018
Elizabeth M. Walsh	Science	2018
Elizabeth M. Walsh	Learning Sciences	2018
Elizabeth M. Walsh	Philosophy	2018
Elizabeth M. Walsh	Science Education	2018
Blakely K. Tsurusaki	Biology	2018
Blakely K. Tsurusaki	Science Education	2018
Blakely K. Tsurusaki	Science Education 	2018
Blakely K. Tsurusaki	Education	2018
Julianne C. Turner	Vocational Home Economics	2018
Julianne C. Turner	Gerneral Science	2018
Julianne C. Turner	Science in Education	2018
Julianne C. Turner	Instruction	2018
Julianne C. Turner	Currilculum	2018
Andrea Christensen	Education	2018
Andrea Christensen	Career Development	2018
Andrea Christensen	Instructional Design	2018
Andrea Christensen	Clinical Brain Research	2018
Andrea Christensen	Adult Education	2018
Hayal Z. Kackar-Cam	Educational Psychology	2018
Hayal Z. Kackar-Cam	Education	2018
Sara M. Fulmer	 Child and Youth Studies	2018
Sara M. Fulmer	 Psychology	2018
Meg Trucano	program of liberal Studies	2018
Meg Trucano	Development Psychology	2018
Meg Trucano	Development Psychology	2018
Flávio S. Azevedo	Science and Mathematics Education	2018
Michele J. Mann	Curriculum and Instruction	2018
R. Keith Sawyer	Technology	2018
Thomas M. Philip	computer science	2018
Thomas M. Philip	computer science	2018
Thomas M. Philip	computer science	2018
Thomas M. Philip	Computer Science	2018
Ayush Gupta	Interactions	2018
Ayush Gupta	Electrical and Electronics Engineering	2018
Ayush Gupta	Physics	2018
Andrew Elby	Physics	2018
Andrew Elby	philosophy	2018
Andrew Elby	education	2018
Andrew Elby	Teaching and Learning	2018
Yrj Engestr m	cultural-historical activity theory	2018
Yrj Engestr m	Adult Education	2018
Emily Tanner-Smith	Sociology	2018
Emily Tanner-Smith	Counseling Psychology	2018
Emily Tanner-Smith	Educational Methodology	2018
Vadim Polikov	Biomedical Engneeering	2018
Vadim Polikov	Enginneering	2018
Freydis Vogel	padagogik	2018
Freydis Vogel	psychology	2018
Freydis Vogel	Learning Sciences	2018
Kristina Loderer	psychology	2018
Clark A. Chinn	Psychology	2018
Clark A. Chinn	Curriculum and Instruction	2018
Clark A. Chinn	Educational Psychology	2018
Jianwei Zhang 	Educationnal psycology	2018
Jianwei Zhang 	Educational Theory and Practice	2018
Mei-Hwa Chen	Computer science	2018
Douglas B. Clark	Ecology and Hydrology	2018
Andrew Hostetler	Education	2018
Andrew Hostetler	Psychology	2018
Andrew Hostetler	Psychology and Human Development	2018
Andrew Hostetler	Community Research and Engagement	2018
Daniel Sommerhoff	Mathematisches	2018
Olga Chernikova	mathematical physics	2018
Olga Chernikova	Biochemistry and Molecular Biology	2018
Olga Chernikova	Molecular and Cell Biology	2018
Olga Chernikova	Natural Sciences	2018
David F. Feldon	Instructional Technology	2018
David F. Feldon	Cognitive Science	2018
David F. Feldon	Educational Psychology	2018
Rossella Santagata	Developmental Psychology	2018
Rossella Santagata	Educational Psychology	2018
Rossella Santagata	Education	2018
Cathery Yeh	Arts and Education 	2018
Cathery Yeh	Arts	2018
Yanqing Sun	Statistics	2018
Sarah Naqvi	Child study and Education	2018
Sarah Naqvi	computer science 	2018
Sarah Naqvi	Education	2018
David F. Feldon	Learning Sciences	2018
David F. Feldon	 Instructional Technology	2018
James P. Cohoon	Computer	2018
Rossella Santagata	Education	2018
Cathery Yeh 	Education	2018
Janet Mercado	Business Administration	2018
Chandra Turpen	Physics Education	2018
Jaana Nummijoki	Physics	2018
Annalisa Sannino	Education	2018
