Source,Target,code,Year,Type
Janet L. Kolodner,Math and Computer Science,00,2007,Undirected 
Janet L. Kolodner,Computer Science,10,2007,Undirected 
Janet L. Kolodner,Computer Science,20,2007,Undirected 
Janet L. Kolodner,Computer,30,2007,Undirected 
Eli Gottlieb,Computer Science,00,2007,Undirected 
Eli Gottlieb,Computer Science,10,2007,Undirected 
Eli Gottlieb,Cognitive Science,20,2007,Undirected 
Eli Gottlieb,Computer and Information Science,30,2007,Undirected 
Ilana Seidel Horn,Math,00,2007,Undirected 
Ilana Seidel Horn,Math Education,10,2007,Undirected 
Ilana Seidel Horn,Math Education,20,2007,Undirected 
Ilana Seidel Horn,Math Education,30,2007,Undirected 
Sadhana Puntambekar,Cognitive and Computing Sciences,20,2007,Undirected 
Sadhana Puntambekar,Educational Sciences?,30,2007,Undirected 
Agnes Stylianou,Education,20,2007,Undirected 
Agnes Stylianou,International Society of the Learning Sciences,30,2007,Undirected 
Jessica Goldstein,Psychology,00,2007,Undirected 
Jessica Goldstein,Educational Psychology,10,2007,Undirected 
Jessica Goldstein,"Measurement, Evaluation, and Assessment",20,2007,Undirected 
Jessica Goldstein,Educational Psychology,30,2007,Undirected 
Michael Eisenberg,Chemistry,00,2007,Undirected 
Michael Eisenberg,Computer Science,10,2007,Undirected 
Michael Eisenberg,Computer Science,20,2007,Undirected 
Michael Eisenberg,Educational Technology,30,2007,Undirected 
Noel Enyedy,Cognitive Science,00,2007,Undirected 
Noel Enyedy,Education,10,2007,Undirected 
Noel Enyedy,Education,20,2007,Undirected 
Noel Enyedy,Education,30,2007,Undirected 
Shiuli Mukhopadhyay,Math,20,2007,Undirected 
Shiuli Mukhopadhyay,Education,30,2007,Undirected 
Jan van Aalst,Science Education,30,2007,Undirected 
Jan van Aalst,Science Education,20,2007,Undirected 
Jan van Aalst,Education,10,2007,Undirected 
Jan van Aalst,Physics,00,2007,Undirected 
Carol K. K. Chan,Educational Technology,20,2007,Undirected 
Carol K. K. Chan,Learning Science,30,2007,Undirected 
Amy B.Ellis,Math,00,2007,Undirected 
Amy B.Ellis,Math,10,2007,Undirected 
Amy B.Ellis,Mathematics and Science Education,20,2007,Undirected 
Amy B.Ellis,Curriculum and Instruction,30,2007,Undirected 
Sasha Barab,Psychology,00,2007,Undirected 
Sasha Barab,Education,10,2007,Undirected 
Sasha Barab,Cognition and Instruction,20,2007,Undirected 
Sasha Barab,Education,30,2007,Undirected 
Tyler Dodge,Education,20,2007,Undirected 
Tyler Dodge,Psychology,30,2007,Undirected 
Michael K. Thomas,Psychology,00,2007,Undirected 
Michael K. Thomas,Education,10,2007,Undirected 
Michael K. Thomas,Language Education,20,2007,Undirected 
Michael K. Thomas,Educational Psychology,30,2007,Undirected 
Craig Jackson,Education,30,2007,Undirected 
Craig Jackson,Computer Science,10,2007,Undirected 
Craig Jackson,Law,00,2007,Undirected 
Hakan Tuzun,Computer Education,00,2007,Undirected 
Hakan Tuzun,Instructional Systems Technology,10,2007,Undirected 
Hakan Tuzun,Instructional Systems Technology,20,2007,Undirected 
Hakan Tuzun,Computer Education and Instructional Technology,30,2007,Undirected 
Cindy Hmelo-Silver,Cardiorespiratory Sciences,00,2007,Undirected 
Cindy Hmelo-Silver,Educational Computing,10,2007,Undirected 
Cindy Hmelo-Silver,Educational Technology,20,2007,Undirected 
Cindy Hmelo-Silver,Learning and Techenology,30,2007,Undirected 
Surabhi Marathe ,Computer Science,20,2007,Undirected 
Surabhi Marathe ,Physics,10,2007,Undirected 
Surabhi Marathe ,Biology,00,2007,Undirected 
Surabhi Marathe ,Education,30,2007,Undirected 
Lei Liu,Computer Science,00,2007,Undirected 
Lei Liu,Computer Science,10,2007,Undirected 
Lei Liu,Computer Science and Engineering,20,2007,Undirected 
Il-Hee Kim,English Language and Literature,00,2007,Undirected 
Il-Hee Kim,English Language and Linguistics,10,2007,Undirected 
Il-Hee Kim,Educational Psychology,20,2007,Undirected 
Il-Hee Kim,Education,30,2007,Undirected 
Richard Anderson,Math,00,2007,Undirected 
Richard Anderson,?Computer Science,20,2007,Undirected 
Richard Anderson,Educational Technology,30,2007,Undirected 
Kim Nguyen-Jahiel,Psychology,00,2007,Undirected 
Kim Nguyen-Jahiel,Education,10,2007,Undirected 
Kim Nguyen-Jahiel,Communication,20,2007,Undirected 
Kim Nguyen-Jahiel,Education,30,2007,Undirected 
Anthi Archodidou,Education,00,2007,Undirected 
Anthi Archodidou,Communication,10,2007,Undirected 
Anthi Archodidou,Psychology,20,2007,Undirected 
Anthi Archodidou,Educational Psychology,30,2007,Undirected 
Kurt Squire,Instructional Systems Technology,20,2007,Undirected 
Kurt Squire,Educational Technology,30,2007,Undirected 
Eric Klopfer,Biology,00,2007,Undirected 
Eric Klopfer,Zoology,20,2007,Undirected 
Eric Klopfer,Educational Technology,30,2007,Undirected 
Orit Parnafes,Science and Math Education,00,2007,Undirected 
Orit Parnafes,Science and Math Education,10,2007,Undirected 
Orit Parnafes,Science and Math Education,20,2007,Undirected 
Orit Parnafes,Education,30,2007,Undirected 
Lisa C. Yamagata-Lynch,Psychology,00,2007,Undirected 
Lisa C. Yamagata-Lynch,Instructional Systems Technology,10,2007,Undirected 
Lisa C. Yamagata-Lynch,Educational Technology,20,2007,Undirected 
Lisa C. Yamagata-Lynch,Educational Technology,30,2007,Undirected 
Marije van Amelsvoort,Arts,00,2007,Undirected 
Marije van Amelsvoort,Educational Psychology,10,2007,Undirected 
Marije van Amelsvoort,Educational Psychology,20,2007,Undirected 
Marije van Amelsvoort,Education,30,2007,Undirected 
Jerry Andriessen,Secondary Education,00,2007,Undirected 
Jerry Andriessen,Educational Psychology,10,2007,Undirected 
Jerry Andriessen,Learning Sciences,20,2007,Undirected 
Jerry Andriessen,Teacher Education,30,2007,Undirected 
Gellof Kanselaar,Psychology,00,2007,Undirected 
Gellof Kanselaar,Psychology,10,2007,Undirected 
Gellof Kanselaar,Psychology,20,2007,Undirected 
Gellof Kanselaar,Educational Psychology,30,2007,Undirected 
Mitchell J. Nathan,Electrical and Computer Engineering,00,2007,Undirected 
Mitchell J. Nathan,Psychology,10,2007,Undirected 
Mitchell J. Nathan,Psychology,20,2007,Undirected 
Mitchell J. Nathan,Educational Psychology,30,2007,Undirected 
Suyeon Kim,Education,30,2007,Undirected 
Anna Sfard,Math Education,20,2007,Undirected 
Anna Sfard,Learning Sciences,30,2007,Undirected 
