source,Target,Type,year,code
Alan H. Schoenfeld,Mathematics,Undirected,1992,0
Alan H. Schoenfeld,Mathematics,Undirected,1992,10
Alan H. Schoenfeld,Mathematics,Undirected,1992,20
Ann L. Brown,psychology,Undirected,1992,20
Beth Warren,French Language and Literature,Undirected,1992,0
Beth Warren,Human Development and Reading,Undirected,1992,10
Beth Warren,education,Undirected,1992,20
Brian J. Reiser,Learning Sciences,Undirected,1992,
Clea Fernandez,learning science,Undirected,1992,
Douglas C. Merrill,Social and Political Organization.,Undirected,1992,0
Douglas C. Merrill,psychology,Undirected,1992,10
Douglas C. Merrill,psychology,Undirected,1992,20
Faith R. Conant,Cognition and Instruction,Undirected,1992,30
Geoffrey B. Saxe,Psychology,Undirected,1992,0
Geoffrey B. Saxe,Psychology,Undirected,1992,20
Geoffrey B. Saxe,Atypical cognitive development.,Undirected,1992,30
J. Gregory Trafton,learning science,Undirected,1992,
James W. Stigler,Developmental Psychology,Undirected,1992,20
James W. Stigler,Cognitive Psychology,Undirected,1992,20
Jeremy Roschelle,Computer Science,Undirected,1992,10
Jeremy Roschelle,The learning sciences,Undirected,1992,20
Jose P. Mestre,Physics,Undirected,1992,
Jose P. Mestre,physics,Undirected,1992,
Kurt VanLehn,Computer Science,Undirected,1992,
Kurt VanLehn,Cognitive Science,Undirected,1992,
Kurt VanLehn,the Leanring Sciences,Undirected,1992,
Makoto Yoshida,computer science,Undirected,1992,10
Michael Ranney,Psychology,Undirected,1992,10
Michael Ranney,education,Undirected,1992,20
Michelene T.H. Chi,Learning and instruction cognitive science,Undirected,1992,20
Pamela Thibodeau Hardiman,physics,Undirected,1992,
Randolph M. Jone,Mathematics and Computer Science,Undirected,1992,0
Randolph M. Jone,Information and Computer Science,Undirected,1992,10
Randolph M. Jone,Computer Science,Undirected,1992,30
Ray Bareiss,Computer Science,Undirected,1992,
Ray Bareiss,Computer-based Learning Environment,Undirected,1992,
Ray Bareiss,Learning Science,Undirected,1992,
Richard Osgood,Physics,Undirected,1992,10
Richard Osgood,Physics,Undirected,1992,20
Robert J. Dufresne,learning science,Undirected,1992,
Susan M. Williams,law,Undirected,1992,20
Susan M. Williams,learning science,Undirected,1992,10
William J. Gerace,learning sciences,Undirected,1992,
